OpenAlexID,DOI,RSD UUID,type,year,author position,citations,open access,project,project type,source,title
W6922684409,10.12751/nncn.bc2023.095,3963fa15-aa8c-4816-939c-4fb4d7a113a5,conferencePaper,2023,none,0,true,smartnets,INTERNAL,null,High dimensional clustering reveals heterogeneity in excitatory and inhibitory cells in the neocortex
W4387005515,10.1109/e-science58273.2023.10254664,d2612cd1-f1c3-4cc8-ad1d-5d9d055406e0,conferencePaper,2023,first,1,true,searchseco,INTERNAL,2023 IEEE 19th International Conference on e-Science (e-Science),FAIRSECO: An Extensible Framework for Impact Measurement of Research Software
W3184276901,null,ff487cca-d623-4e99-bf08-37f59a24dd88,conferencePaper,2021,none,0,false,e-musc,INTERNAL,47th EPS Conference on Plasma Physics,"Performing Validation, Verification, and Sensitivity Analysis on Multiscale Fusion Plasma Simulations with the VECMA Toolkit"
W2995745876,10.1109/aciiw.2019.8925059,5f7e3dc5-b4ea-4d56-a68e-f4426b589498,conferencePaper,2019,none,6,false,emotion-recognition-in-dementia,INTERNAL,2019 8th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW),Emotion Recognition in Dementia: Advancing technology for multimodal analysis of emotion expression in everyday life
W2972757056,10.21437/interspeech.2019-1823,cdc6e447-c7ad-4a39-a5e4-5e7f367848ca,conferencePaper,2019,none,6,true,emotion-recognition-in-dementia,INTERNAL,Interspeech 2019,An Acoustic and Lexical Analysis of Emotional Valence in Spontaneous Speech: Autobiographical Memory Recall in Older Adults
W2995289755,10.1109/acii.2019.8925462,5ee4adcd-20a4-4e0f-9cb3-fbf6dd66325b,conferencePaper,2019,none,8,false,emotion-recognition-in-dementia,INTERNAL,2019 8th International Conference on Affective Computing and Intelligent Interaction (ACII),MEMOA: Introducing the Multi-Modal Emotional Memories of Older Adults Database
W4402262073,10.1109/igarss53475.2024.10642762,11caaec4-70da-48a2-8878-156cbffefe90,conferencePaper,2024,first,0,false,mobyle,INTERNAL,IGARSS 2024 - 2024 IEEE International Geoscience and Remote Sensing Symposium,SARXarray and STMtools: Open-Source Python Libraries for InSAR Data Processing and Analysis
W3205147550,10.1109/igarss47720.2021.9555075,dea751b3-5872-4609-9fd1-3adf227b9b87,conferencePaper,2021,none,0,false,eratosthenes,INTERNAL,2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,Shadow Cast Tracking for Deduction of Elevation Data Through Affine Matching Methods on Optical Satellite Imagery
W3011859264,10.1109/escience.2019.00078,02be80cb-99d0-4c9a-a533-e4eb2286c4ad,conferencePaper,2019,middle,11,true,secconnet,INTERNAL,2019 15th International Conference on eScience (eScience),Modeling and Matching Digital Data Marketplace Policies
W3135407704,10.1109/lcnsymposium50271.2020.9363266,8f0fb20d-3537-4641-a17a-350f569ba5f6,conferencePaper,2020,middle,4,true,secconnet,INTERNAL,2020 IEEE 45th LCN Symposium on Emerging Topics in Networking (LCN Symposium),Evaluation of Container Overlays for Secure Data Sharing
W3015716294,10.1109/cloudnet47604.2019.9064090,e46b4dba-a905-475f-8bc5-bbeace0c6c9d,conferencePaper,2019,none,2,true,secconnet,INTERNAL,2019 IEEE 8th International Conference on Cloud Networking (CloudNet),Scalability of Container Overlays for Policy Enforcement in Digital Marketplaces
W4286507039,10.1109/cits55221.2022.9832915,3a4f468a-925a-46b8-8fe9-df998a0ace5a,conferencePaper,2022,middle,0,false,secconnet,INTERNAL,"2022 International Conference on Computer, Information and Telecommunication Systems (CITS)",Tracking container network connections in a Digital Data Marketplace with P4
W3120406386,10.1145/3432261.3439863,75a0d9cc-f7c4-4875-9200-d51eff8ac0ee,conferencePaper,2021,middle,14,true,esiwace2-2,EXTERNAL,The International Conference on High Performance Computing in Asia-Pacific Region,GPU Optimizations for Atmospheric Chemical Kinetics
W4402262161,10.1109/igarss53475.2024.10641356,bb0af0c6-522e-47fc-980a-9598ddb0ceb5,conferencePaper,2024,middle,0,false,mixed-effects-explainable-boosting-machines-for-spatiotemporal-phenological-modelling,INTERNAL,IGARSS 2024 - 2024 IEEE International Geoscience and Remote Sensing Symposium,Harmonizing Machine Learning Based Phenological Modeling: A Unified Workflow for Comparative Analyses
W2961886091,10.1145/3329722.3330146,991fbe92-6f3a-42ba-bd9b-8ce25a9c83e4,conferencePaper,2019,none,0,false,a-methodology-and-ecosystem-for-many-core-programming,INTERNAL,Proceedings of the ACM SIGPLAN 6th on Chapel Implementers and Users Workshop,Implementing stencil problems in Chapel: an experience report
W4225385393,10.1145/3520304.3533995,ad88ea10-e3e2-4586-ac03-abc1167308e5,conferencePaper,2022,none,3,true,fedmix,INTERNAL,Proceedings of the Genetic and Evolutionary Computation Conference Companion,Heed the noise in performance evaluations in neural architecture search
W3002688869,10.1117/12.2547459,f22c50f6-2e70-489e-b401-90765d39782e,conferencePaper,2020,middle,0,true,fedmix,INTERNAL,Medical Imaging 2020: Image Processing,Observer variation-aware medical image segmentation by combining deep learning and surrogate-assisted genetic algorithms
W2954532028,10.1145/3321707.3321760,d18f6755-90e0-488d-8365-f5a51e96967f,conferencePaper,2019,middle,21,true,fedmix,INTERNAL,Proceedings of the Genetic and Evolutionary Computation Conference,Convolutional neural network surrogate-assisted GOMEA
W3152759358,10.1145/3449639.3459306,d0fb1a2a-efae-4ec8-af2c-a7a0e12efe8a,conferencePaper,2021,none,3,true,fedmix,INTERNAL,Proceedings of the Genetic and Evolutionary Computation Conference,A novel surrogate-assisted evolutionary algorithm applied to partition-based ensemble learning
W4220924952,10.1117/12.2608611,f2b23726-9d79-42fd-b403-4467e28b8a08,conferencePaper,2022,none,1,true,fedmix,INTERNAL,Medical Imaging 2022: Image Processing,Data variation-aware medical image segmentation
W2937419133,10.1109/dsw.2019.8755567,fed1a76c-b269-4bd4-94d7-b1473c142b7a,conferencePaper,2019,middle,2,true,dirac,INTERNAL,2019 IEEE Data Science Workshop (DSW),A Stochastic LBFGS Algorithm for Radio Interferometric Calibration
W3030570221,10.23919/eusipco47968.2020.9287467,f602ce8c-2e64-41b7-b601-bd838f5216c5,conferencePaper,2020,none,1,true,dirac,INTERNAL,2020 28th European Signal Processing Conference (EUSIPCO),Polarization-based online interference mitigation in radio interferometry
W3093632109,10.23919/ursigass49373.2020.9232346,c3c10183-0d96-4c1c-838c-a844b629fab2,conferencePaper,2020,first,1,false,dirac,INTERNAL,2020 XXXIIIrd General Assembly and Scientific Symposium of the International Union of Radio Science,Scaling performance of the SAGECal calibration package: from LOFAR to SKA
W2911865879,10.1145/3295750.3298918,f3d7d89e-b25d-435c-bcba-3953e392c3b6,conferencePaper,2019,middle,6,false,mediasuite,EXTERNAL,Proceedings of the 2019 Conference on Human Information Interaction and Retrieval,The CLARIAH Media Suite
W4412987383,10.1109/ispass64960.2025.00028,efec916e-4a38-4409-8c18-b4cbf08242d7,conferencePaper,2025,middle,0,false,recruit,INTERNAL,2025 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS),PowerSensor3: A Fast and Accurate Open Source Power Measurement Tool
