OpenAlexID,DOI,RSD UUID,type,year,author position,citations,open access,project,project type,source,title
W6922684409,10.12751/nncn.bc2023.095,3963fa15-aa8c-4816-939c-4fb4d7a113a5,conferencePaper,2023,none,0,true,smartnets,INTERNAL,null,High dimensional clustering reveals heterogeneity in excitatory and inhibitory cells in the neocortex
W4387005515,10.1109/e-science58273.2023.10254664,d2612cd1-f1c3-4cc8-ad1d-5d9d055406e0,conferencePaper,2023,first,1,true,searchseco,INTERNAL,2023 IEEE 19th International Conference on e-Science (e-Science),FAIRSECO: An Extensible Framework for Impact Measurement of Research Software
W3184276901,null,ff487cca-d623-4e99-bf08-37f59a24dd88,conferencePaper,2021,none,0,false,e-musc,INTERNAL,47th EPS Conference on Plasma Physics,"Performing Validation, Verification, and Sensitivity Analysis on Multiscale Fusion Plasma Simulations with the VECMA Toolkit"
W2995745876,10.1109/aciiw.2019.8925059,5f7e3dc5-b4ea-4d56-a68e-f4426b589498,conferencePaper,2019,none,6,false,emotion-recognition-in-dementia,INTERNAL,2019 8th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW),Emotion Recognition in Dementia: Advancing technology for multimodal analysis of emotion expression in everyday life
W2972757056,10.21437/interspeech.2019-1823,cdc6e447-c7ad-4a39-a5e4-5e7f367848ca,conferencePaper,2019,none,6,true,emotion-recognition-in-dementia,INTERNAL,Interspeech 2019,An Acoustic and Lexical Analysis of Emotional Valence in Spontaneous Speech: Autobiographical Memory Recall in Older Adults
W2995289755,10.1109/acii.2019.8925462,5ee4adcd-20a4-4e0f-9cb3-fbf6dd66325b,conferencePaper,2019,none,8,false,emotion-recognition-in-dementia,INTERNAL,2019 8th International Conference on Affective Computing and Intelligent Interaction (ACII),MEMOA: Introducing the Multi-Modal Emotional Memories of Older Adults Database
W4385292665,10.5281/zenodo.8188970,b6640952-9412-458b-9ca3-439bc8cf6f12,conferencePaper,2023,first,0,true,mobyle,INTERNAL,,STMtools: An Open Source Python Library for Enriching Spatio-Temporal Data
W4402262073,10.1109/igarss53475.2024.10642762,11caaec4-70da-48a2-8878-156cbffefe90,conferencePaper,2024,first,0,false,mobyle,INTERNAL,IGARSS 2024 - 2024 IEEE International Geoscience and Remote Sensing Symposium,SARXarray and STMtools: Open-Source Python Libraries for InSAR Data Processing and Analysis
W4322005484,10.5194/egusphere-egu23-6768,f5905bad-7e1a-4e41-b72e-3238f864f593,conferencePaper,2023,first,0,true,mobyle,INTERNAL,null,SarXarray: an Xarray extension for SLC SAR data processing
W4322011116,10.5194/egusphere-egu23-8711,eef3233c-67e8-4eb9-bff5-1abe1b846f8b,conferencePaper,2023,last,0,true,eratosthenes,INTERNAL,null,dhdt: a Python library to transform shifting shadows to glacier elevation change
W3205147550,10.1109/igarss47720.2021.9555075,dea751b3-5872-4609-9fd1-3adf227b9b87,conferencePaper,2021,none,0,false,eratosthenes,INTERNAL,2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,Shadow Cast Tracking for Deduction of Elevation Data Through Affine Matching Methods on Optical Satellite Imagery
W3168324924,10.5194/egusphere-egu21-10774,39b792e0-212c-437e-9baa-a921349f2861,conferencePaper,2021,middle,0,true,eratosthenes,INTERNAL,null,"Topographic elevation change through tracking shadow cast from mountain ridges. Showcasing Red Glacier, Mt. Iliamna."
W4392630556,10.5194/egusphere-egu24-15738,00fe7891-6c26-49db-a888-eeeea10f462c,conferencePaper,2024,middle,1,true,digital-twins-for-early-warning-systems,,null,Digital Twins for Early Warning Systems: Intricacies and Solutions
W4392657990,10.5194/egusphere-egu24-19418,09ee6a6a-ddba-46ae-99b6-7ace52e1741c,conferencePaper,2024,middle,0,true,mindthegap,EXTERNAL,null,How does subaerial erosion of carbonate platform distort the sedimentary record?
W4392624679,10.5194/egusphere-egu24-16400,22d58d98-29a3-4410-ad8d-cd82c67d26ef,conferencePaper,2024,first,0,true,mindthegap,EXTERNAL,null,Uncertainties in modelling diagenetic self-organisation in limestone-marl sequences
W4392658188,10.5194/egusphere-egu24-19152,5bd8c9fd-808e-4427-9736-c8b09b65e6c8,conferencePaper,2024,middle,0,true,mindthegap,EXTERNAL,null,What drives the structure of the stratigraphic record? A registered report study using forward modelling
W4392580907,10.5194/egusphere-egu24-8906,887ff265-ead0-4ab8-afb7-a601f7388595,conferencePaper,2024,first,0,true,mindthegap,EXTERNAL,null,"CarboKitten.jl, an Open Source simulator for Carbonate Platform formation in Julia"
W3011859264,10.1109/escience.2019.00078,02be80cb-99d0-4c9a-a533-e4eb2286c4ad,conferencePaper,2019,middle,11,true,secconnet,INTERNAL,2019 15th International Conference on eScience (eScience),Modeling and Matching Digital Data Marketplace Policies
W3135407704,10.1109/lcnsymposium50271.2020.9363266,8f0fb20d-3537-4641-a17a-350f569ba5f6,conferencePaper,2020,middle,4,true,secconnet,INTERNAL,2020 IEEE 45th LCN Symposium on Emerging Topics in Networking (LCN Symposium),Evaluation of Container Overlays for Secure Data Sharing
W3015716294,10.1109/cloudnet47604.2019.9064090,e46b4dba-a905-475f-8bc5-bbeace0c6c9d,conferencePaper,2019,none,2,true,secconnet,INTERNAL,2019 IEEE 8th International Conference on Cloud Networking (CloudNet),Scalability of Container Overlays for Policy Enforcement in Digital Marketplaces
W4286507039,10.1109/cits55221.2022.9832915,3a4f468a-925a-46b8-8fe9-df998a0ace5a,conferencePaper,2022,middle,0,false,secconnet,INTERNAL,"2022 International Conference on Computer, Information and Telecommunication Systems (CITS)",Tracking container network connections in a Digital Data Marketplace with P4
W3164133766,10.5194/egusphere-egu21-11551,be2824d0-f838-4713-adc0-14cdc0a3d087,conferencePaper,2021,first,0,true,esiwace2-2,EXTERNAL,null,GPU acceleration of the FESOM-2 ocean and sea-ice model
W4322006016,10.5194/egusphere-egu23-7333,0e19ee22-b6d8-4861-959c-3c474b20464f,conferencePaper,2023,first,1,true,esiwace2-2,EXTERNAL,null,Acceleration of the non-hydrostatic dynamical core of RegCM using GPUs
W3120406386,10.1145/3432261.3439863,75a0d9cc-f7c4-4875-9200-d51eff8ac0ee,conferencePaper,2021,middle,14,true,esiwace2-2,EXTERNAL,The International Conference on High Performance Computing in Asia-Pacific Region,GPU Optimizations for Atmospheric Chemical Kinetics
W4402262161,10.1109/igarss53475.2024.10641356,bb0af0c6-522e-47fc-980a-9598ddb0ceb5,conferencePaper,2024,middle,0,false,mixed-effects-explainable-boosting-machines-for-spatiotemporal-phenological-modelling,INTERNAL,IGARSS 2024 - 2024 IEEE International Geoscience and Remote Sensing Symposium,Harmonizing Machine Learning Based Phenological Modeling: A Unified Workflow for Comparative Analyses
W2961886091,10.1145/3329722.3330146,991fbe92-6f3a-42ba-bd9b-8ce25a9c83e4,conferencePaper,2019,none,0,false,a-methodology-and-ecosystem-for-many-core-programming,INTERNAL,Proceedings of the ACM SIGPLAN 6th on Chapel Implementers and Users Workshop,Implementing stencil problems in Chapel: an experience report
W4225385393,10.1145/3520304.3533995,ad88ea10-e3e2-4586-ac03-abc1167308e5,conferencePaper,2022,none,3,true,fedmix,INTERNAL,Proceedings of the Genetic and Evolutionary Computation Conference Companion,Heed the noise in performance evaluations in neural architecture search
